Date,Host,Service,Message
"2025-11-04T23:59:58.229Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:59:38.278Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:59:36.534Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:57:08.912Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:56:58.380Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'NF_status') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:10:25) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:56:58.370Z","i-0fb3bb26890fc6113","typebot-viewer","SyntaxError: Unexpected token , in JSON at position 256 at JSON.parse (<anonymous>) at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:5:29) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:56:19.959Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:56:17.759Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'NF_status') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:10:25) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:56:17.740Z","i-0fb3bb26890fc6113","typebot-viewer","SyntaxError: Unexpected token , in JSON at position 255 at JSON.parse (<anonymous>) at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:5:29) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:55:38.213Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:53:36.175Z","i-02150996cf927308e","typebot-viewer","TypeError: idPedido.endsWith is not a function at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:5:14) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:53:35.453Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:51:53.001Z","i-0fb3bb26890fc6113","typebot-viewer","TypeError: Cannot read properties of undefined (reading 'split') at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:30:37) at <isolated-vm>:3:31 at <isolated-vm>:4:3"
"2025-11-04T23:50:53.698Z","i-04c3b3912a6a1a9be","typebot-viewer","TypeError: userResponse.match is not a function at eval (eval at <anonymous> (<isolated-vm>:3:10), <anonymous>:13:28) at <isolated-vm>:3:31 at <isolated-vm>:4:3"